# Optical absorption spectrum of Bacteriochlorophyll a in toluene
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by D. Holten on 09-15-2004 using a .  
#
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 92000 cm-1/M at 781.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Connolly, J. S., E. B. Samuel and A. F. Janzen (1982) Effects of solvent on the fluorescence properties of bacteriochlorophyll a.  Photochem. Photobiol. 36, 565-574.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
300	19765
300.2	19872
300.39	19923
300.6	19983
300.8	20029
301	20208
301.2	20252
301.39	20356
301.6	20436
301.8	20559
302	20559
302.2	20588
302.39	20794
302.6	20802
302.8	20874
303	20896
303.2	20869
303.39	20956
303.6	21114
303.8	21022
304	21179
304.2	21233
304.39	21133
304.6	21247
304.8	21295
305	21240
305.2	21254
305.39	21254
305.6	21380
305.8	21540
306	21482
306.2	21436
306.39	21513
306.6	21499
306.8	21494
307	21569
307.2	21395
307.39	21472
307.6	21395
307.8	21463
308	21291
308.2	21315
308.39	21266
308.6	21363
308.8	21310
309	21322
309.2	21303
309.39	21220
309.6	21109
309.8	21182
310	21184
310.2	21131
310.39	21082
310.6	21116
310.8	21034
311	21048
311.2	20993
311.39	21024
311.6	20976
311.8	21005
312	20971
312.2	20925
312.39	20944
312.6	20889
312.8	20913
313	20806
313.2	20935
313.39	20833
313.6	21000
313.8	20983
314	21070
314.2	21094
314.39	21097
314.6	21116
314.8	21162
315	21203
315.2	21170
315.39	21286
315.6	21177
315.8	21203
316	21378
316.2	21562
316.39	21475
316.6	21571
316.8	21627
317	21647
317.2	21845
317.39	21886
317.6	22017
317.8	22124
318	22249
318.2	22380
318.39	22421
318.6	22581
318.8	22649
319	22564
319.2	22743
319.39	22911
319.6	22944
319.8	23145
320	23218
320.2	23305
320.39	23373
320.6	23535
320.8	23773
321	23695
321.2	24119
321.39	24003
321.6	24189
321.8	24339
322	24378
322.2	24598
322.39	24557
322.6	24891
322.8	24981
323	25032
323.2	25259
323.39	25293
323.6	25489
323.8	25564
324	25802
324.2	25884
324.39	26116
324.6	26199
324.8	26429
325	26586
325.2	26613
325.39	26853
325.6	26981
325.8	27257
326	27252
326.2	27451
326.39	27756
326.6	27843
326.8	28061
327	28102
327.2	28320
327.39	28518
327.6	28627
327.8	28867
328	29000
328.2	29204
328.4	29317
328.6	29453
328.8	29552
329	29891
329.2	30037
329.4	30317
329.6	30412
329.8	30618
330	30681
330.2	30836
330.4	31124
330.6	31148
330.8	31436
331	31434
331.2	31703
331.4	31814
331.6	32058
331.8	32262
332	32574
332.2	32654
332.4	32799
332.6	32979
332.8	33187
333	33366
333.2	33468
333.4	33584
333.6	33911
333.8	34068
334	34209
334.2	34414
334.4	34753
334.6	34867
334.8	34991
335	35160
335.2	35373
335.4	35649
335.6	35804
335.8	35947
336	36131
336.2	36383
336.4	36458
336.6	36795
336.8	37015
337	37192
337.2	37439
337.4	37691
337.6	37887
337.8	38136
338	38318
338.2	38594
338.4	38800
338.6	39107
338.8	39347
339	39516
339.2	39669
339.4	39909
339.6	40177
339.8	40451
340	40606
340.2	40870
340.4	41141
340.6	41361
340.8	41611
341	41906
341.2	42073
341.4	42359
341.6	42645
341.8	42795
342	43102
342.2	43260
342.4	43667
342.6	43838
342.8	44039
343	44337
343.2	44558
343.4	44877
343.6	45105
343.8	45274
344	45776
344.2	45935
344.4	46238
344.6	46361
344.8	46684
345	46931
345.2	47199
345.4	47512
345.6	47759
345.8	47991
346	48257
346.2	48579
346.4	48863
346.6	49105
346.8	49371
347	49659
347.2	50003
347.4	50311
347.6	50575
347.8	50938
348	51088
348.2	51478
348.4	51810
348.6	52122
348.8	52386
349	52718
349.2	53023
349.4	53265
349.6	53647
349.8	53967
350	54359
350.2	54735
350.4	55003
350.6	55371
350.8	55606
351	56124
351.2	56509
351.4	56989
351.6	57108
351.8	57635
352	57938
352.2	58207
352.4	58539
352.6	58870
352.8	59289
353	59754
353.2	60098
353.4	60512
353.6	60861
353.8	61202
354	61672
354.2	62081
354.4	62422
354.6	62788
354.8	63185
355	63524
355.2	63926
355.4	64306
355.6	64696
355.8	65074
356	65425
356.2	65766
356.4	66130
356.6	66524
356.8	66851
357	67151
357.2	67466
357.4	67723
357.6	68018
357.8	68350
358	68701
358.2	68950
358.4	69292
358.6	69454
358.8	69636
359	69842
359.2	70011
359.4	70219
359.6	70331
359.8	70539
360	70641
360.2	70718
360.4	70800
360.6	70856
360.8	70890
361	70829
361.2	70931
361.4	70883
361.6	70863
361.8	70728
362	70614
362.2	70628
362.4	70391
362.6	70299
362.8	70038
363	69827
363.2	69624
363.4	69360
363.6	69093
363.8	68812
364	68503
364.2	68222
364.4	67907
364.6	67527
364.8	67173
365	66803
365.2	66435
365.4	66064
365.6	65684
365.8	65263
366	64868
366.2	64442
366.4	63984
366.6	63585
366.8	63076
367	62573
367.2	62113
367.4	61667
367.6	61241
367.8	60725
368	60284
368.2	59783
368.4	59284
368.6	58851
368.8	58410
369	57885
369.2	57447
369.4	57064
369.6	56609
369.8	56100
370	55660
370.2	55221
370.4	54795
370.6	54434
370.8	53962
371	53647
371.2	53289
371.4	52851
371.6	52580
371.8	52180
372	51885
372.2	51546
372.4	51146
372.6	50780
372.8	50500
373	50226
373.2	49877
373.4	49623
373.6	49262
373.8	49100
374	48780
374.2	48521
374.4	48306
374.6	48044
374.8	47839
375	47667
375.2	47458
375.4	47253
375.6	47102
375.8	46938
376	46751
376.2	46536
376.4	46492
376.6	46260
376.8	46115
377	46023
377.2	45923
377.4	45751
377.6	45737
377.8	45541
378	45463
378.2	45361
378.4	45245
378.6	45211
378.8	45139
379	45081
379.2	45066
379.4	44947
379.6	44894
379.8	44819
380	44792
380.2	44698
380.4	44625
380.6	44567
380.8	44572
381	44497
381.2	44463
381.4	44376
381.6	44405
381.8	44407
382	44337
382.2	44272
382.4	44248
382.6	44158
382.8	44127
383	44153
383.2	44037
383.4	43996
383.6	43989
383.8	43918
384	43892
384.2	43812
384.4	43775
384.6	43676
384.8	43618
385	43558
385.2	43560
385.4	43470
385.6	43412
385.8	43388
386	43284
386.2	43267
386.4	43248
386.6	43180
386.8	43136
387	43122
387.2	43127
387.4	43076
387.6	43001
387.8	42989
388	43018
388.2	43030
388.4	42974
388.6	43064
388.8	43141
389	43090
389.2	43110
389.4	43127
389.6	43180
389.8	43146
390	43189
390.2	43260
390.4	43272
390.6	43308
390.8	43427
391	43497
391.2	43572
391.4	43640
391.6	43725
391.8	43734
392	43826
392.2	43911
392.4	43984
392.6	44061
392.8	44211
393	44354
393.2	44383
393.4	44555
393.6	44688
393.8	44729
394	44863
394.2	44923
394.4	44909
394.6	44981
394.8	45037
395	45173
395.2	45153
395.4	45223
395.6	45207
395.8	45257
396	45265
396.2	45257
396.4	45291
396.6	45269
396.8	45190
397	45119
397.2	45003
397.4	44906
397.6	44754
397.8	44606
398	44470
398.2	44298
398.4	44054
398.6	43848
398.8	43562
399	43357
399.2	43013
399.4	42662
399.6	42412
399.8	42051
400	41671
400.2	41323
400.4	40858
400.6	40405
400.8	39957
401	39485
401.2	39001
401.4	38487
401.6	37967
401.8	37424
402	36925
402.2	36356
402.4	35795
402.6	35218
402.8	34671
403	34044
403.2	33417
403.4	32848
403.6	32242
403.8	31611
404	31078
404.2	30436
404.4	29734
404.6	29126
404.8	28477
405	27966
405.2	27317
405.4	26695
405.6	26184
405.8	25528
406	24954
406.2	24405
406.4	23816
406.6	23247
406.8	22772
407	22160
407.2	21659
407.4	21184
407.6	20734
407.8	20252
408	19755
408.2	19332
408.4	18806
408.6	18361
408.8	17913
409	17537
409.2	17099
409.4	16707
409.6	16283
409.8	15915
410	15552
410.2	15254
410.4	14893
410.6	14516
410.8	14240
411	13959
411.2	13668
411.4	13310
411.6	13031
411.8	12792
412	12591
412.2	12310
412.4	12036
412.6	11809
412.8	11571
413	11378
413.2	11186
413.4	11046
413.6	10782
413.8	10661
414	10460
414.2	10298
414.4	10114
414.6	9968
414.8	9830
415	9646
415.2	9523
415.4	9433
415.6	9271
415.8	9135
416	9009
416.2	8888
416.4	8799
416.6	8753
416.8	8598
417	8489
417.2	8402
417.4	8327
417.6	8244
417.8	8133
418	8038
418.2	7975
418.4	7886
418.6	7876
418.8	7699
419	7632
419.2	7629
419.4	7571
419.6	7482
419.8	7353
420	7377
420.2	7302
420.4	7268
420.6	7242
420.8	7174
421	7053
421.2	7007
421.4	6956
421.6	6951
421.8	6913
422	6847
422.2	6845
422.4	6765
422.6	6726
422.8	6687
423	6629
423.2	6554
423.4	6503
423.6	6598
423.8	6518
424	6479
424.2	6416
424.4	6397
424.6	6331
424.8	6353
425	6281
425.2	6281
425.4	6198
425.6	6138
425.8	6155
426	6123
426.2	6063
426.4	6055
426.6	6012
426.8	5961
427	5949
427.2	5951
427.4	5915
427.6	5898
427.8	5857
428	5791
428.2	5837
428.4	5779
428.6	5758
428.8	5695
429	5680
429.2	5680
429.4	5627
429.6	5632
429.8	5583
430	5607
430.2	5552
430.4	5549
430.6	5515
430.8	5508
431	5535
431.2	5532
431.4	5552
431.6	5503
431.8	5489
432	5394
432.2	5423
432.4	5411
432.6	5435
432.8	5353
433	5329
433.2	5346
433.4	5348
433.6	5358
433.8	5293
434	5261
434.2	5244
434.4	5230
434.6	5201
434.8	5213
435	5162
435.2	5172
435.4	5174
435.6	5140
435.8	5111
436	5133
436.2	5101
436.4	5082
436.6	5017
436.8	5060
437	4995
437.2	5017
437.4	5019
437.6	4958
437.8	4990
438	4951
438.2	4925
438.4	4801
438.6	4869
438.8	4833
439	4804
439.2	4733
439.4	4741
439.6	4731
439.8	4733
440	4711
440.2	4690
440.4	4678
440.6	4646
440.8	4675
441	4612
441.2	4600
441.4	4576
441.6	4600
441.8	4566
442	4547
442.2	4486
442.4	4496
442.6	4518
442.8	4419
443	4426
443.2	4414
443.4	4455
443.6	4392
443.8	4278
444	4283
444.2	4285
444.4	4247
444.6	4220
444.8	4201
445	4099
445.2	4184
445.4	4162
445.6	4159
445.8	4116
446	4145
446.2	4072
446.4	4029
446.6	4075
446.8	4034
447	4029
447.2	3995
447.4	3966
447.6	3922
447.8	3917
448	3908
448.2	3915
448.4	3876
448.6	3891
448.8	3799
449	3801
449.2	3818
449.4	3731
449.6	3719
449.8	3724
450	3825
450.2	3760
450.4	3767
450.6	3733
450.8	3711
451	3675
451.2	3697
451.4	3622
451.6	3610
451.8	3644
452	3605
452.2	3544
452.4	3559
452.6	3535
452.8	3540
453	3472
453.2	3445
453.4	3457
453.6	3452
453.8	3469
454	3377
454.2	3343
454.4	3356
454.6	3368
454.8	3331
455	3307
455.2	3295
455.4	3276
455.6	3256
455.8	3244
456	3230
456.2	3222
456.4	3222
456.6	3227
456.8	3184
457	3128
457.2	3210
457.4	3150
457.6	3155
457.8	3101
458	3125
458.2	3096
458.4	3089
458.6	3065
458.8	3048
459	3089
459.2	3055
459.4	3033
459.6	3024
459.8	3007
460	2990
460.2	3019
460.4	3012
460.6	3019
460.8	2917
461	2946
461.2	2898
461.4	2949
461.6	2932
461.8	2893
462	2852
462.2	2862
462.4	2888
462.6	2830
462.8	2886
463	2818
463.2	2828
463.4	2782
463.6	2774
463.8	2828
464	2782
464.2	2753
464.4	2818
464.6	2791
464.8	2733
465	2757
465.2	2736
465.4	2745
465.6	2714
465.8	2711
466	2658
466.2	2678
466.4	2680
466.6	2668
466.8	2651
467	2673
467.2	2627
467.4	2663
467.6	2641
467.8	2615
468	2600
468.2	2610
468.4	2556
468.6	2576
468.8	2617
469	2561
469.2	2571
469.4	2573
469.6	2496
469.8	2523
470	2525
470.2	2515
470.4	2503
470.6	2535
470.8	2469
471	2477
471.2	2464
471.4	2431
471.6	2472
471.8	2460
472	2467
472.2	2431
472.4	2440
472.6	2382
472.8	2421
473	2443
473.2	2394
473.4	2435
473.6	2387
473.8	2353
474	2394
474.2	2394
474.4	2360
474.6	2358
474.8	2322
475	2370
475.2	2372
475.4	2322
475.6	2319
475.8	2263
476	2317
476.2	2314
476.4	2285
476.6	2309
476.8	2280
477	2271
477.2	2273
477.4	2290
477.6	2276
477.8	2261
478	2280
478.2	2276
478.4	2247
478.6	2251
478.8	2227
479	2215
479.2	2208
479.4	2220
479.6	2251
479.8	2208
480	2193
480.2	2244
480.4	2273
480.6	2213
480.8	2203
481	2164
481.2	2205
481.4	2203
481.6	2188
481.8	2198
482	2230
482.2	2191
482.4	2162
482.6	2210
482.8	2193
483	2162
483.2	2167
483.4	2162
483.6	2157
483.8	2152
484	2171
484.2	2193
484.4	2167
484.6	2142
484.8	2196
485	2145
485.2	2116
485.4	2155
485.6	2159
485.8	2176
486	2128
486.2	2118
486.4	2133
486.6	2125
486.8	2157
487	2142
487.2	2171
487.4	2155
487.6	2186
487.8	2125
488	2138
488.2	2169
