# Optical absorption spectrum of Chlorophyll a in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by J. Li on 12-11-1997 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 111700 cm-1/M at 427.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Strain, H. H., M. R. Thomas and J. J. Katz (1963) Spectral absorption properties of ordinary and fully deuteriated chlorophylls a and b.  Biochim. Biophys. Acta 75, 306-311.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
219.81	18462
220	18990
220.18	19418
220.37	20009
220.56	20429
220.75	20632
220.93	20830
221.12	21173
221.31	21411
221.5	21452
221.68	21774
221.87	22005
222.06	22113
222.25	22143
222.43	22369
222.62	22476
222.81	22601
223	22746
223.18	22848
223.37	23008
223.56	22936
223.75	22987
223.93	23174
224.12	23231
224.31	23244
224.5	23349
224.68	23325
224.87	23293
225.06	23396
225.25	23507
225.43	23467
225.62	23677
225.81	23647
226	23487
226.18	23711
226.37	23670
226.56	23607
226.75	23755
226.93	23719
227.12	23723
227.31	23706
227.5	23789
227.68	23915
227.87	23931
228.06	23924
228.25	23891
228.43	23897
228.62	23808
228.81	23943
229	23960
229.18	24183
229.37	24035
229.56	24005
229.75	24051
229.93	24182
230.12	23976
230.31	24169
230.5	24160
230.68	24129
230.87	24034
231.06	24076
231.25	24212
231.43	24249
231.62	24142
231.81	24214
232	24166
232.18	24131
232.37	23978
232.56	24041
232.75	24102
232.93	24050
233.12	24087
233.31	24193
233.5	24131
233.68	24225
233.87	24321
234.06	24238
234.25	24189
234.43	24173
234.62	24200
234.81	24233
235	24157
235.18	24150
235.37	24133
235.56	24093
235.75	24190
235.93	24165
236.12	24207
236.31	24095
236.5	24082
236.68	24149
236.87	23936
237.06	23991
237.25	23964
237.43	23884
237.62	23925
237.81	24052
238	23934
238.18	23853
238.37	23855
238.56	23842
238.75	23858
238.93	23853
239.12	23810
239.31	23759
239.5	23794
239.68	23634
239.87	23751
240.06	23712
240.25	23786
240.43	23707
240.62	23621
240.81	23559
241	23628
241.18	23574
241.37	23508
241.56	23448
241.75	23400
241.93	23513
242.12	23530
242.31	23485
242.5	23464
242.68	23434
242.87	23500
243.06	23540
243.25	23467
243.43	23429
243.62	23491
243.81	23404
244	23265
244.18	23477
244.37	23340
244.56	23329
244.75	23419
244.93	23275
245.12	23283
245.31	23253
245.5	23225
245.68	23180
245.87	23186
246.06	23162
246.25	23030
246.43	22982
246.62	22981
246.81	22953
247	22910
247.18	22823
247.37	22834
247.56	22794
247.75	22662
247.93	22613
248.12	22524
248.31	22540
248.5	22404
248.68	22448
248.87	22362
249.06	22385
249.25	22256
249.43	22242
249.62	22194
249.81	22096
250	22062
250.18	22038
250.37	21940
250.56	21870
250.75	21800
250.93	21673
251.12	21784
251.31	21590
251.5	21593
251.68	21525
251.87	21428
252.06	21348
252.25	21268
252.43	21185
252.62	21119
252.81	21029
253	20863
253.18	20811
253.37	20762
253.56	20716
253.75	20635
253.93	20653
254.12	20678
254.31	20569
254.5	20532
254.68	20423
254.87	20339
255.06	20273
255.25	20310
255.43	20155
255.62	20126
255.81	20038
256	20020
256.18	19896
256.37	19970
256.56	19987
256.75	19781
256.93	19865
257.12	19717
257.31	19674
257.5	19496
257.68	19466
257.87	19355
258.06	19283
258.25	19158
258.43	19048
258.62	18981
258.81	18846
259	18800
259.18	18677
259.37	18494
259.56	18430
259.75	18235
259.93	18147
260.12	17982
260.31	17896
260.5	17847
260.68	17723
260.87	17560
261.06	17452
261.25	17397
261.43	17194
261.62	16937
261.81	16820
262	16686
262.18	16584
262.37	16493
262.56	16486
262.75	16395
262.93	16431
263.12	16406
263.31	16434
263.5	16362
263.68	16327
263.87	16167
264.06	16090
264.25	16037
264.43	15832
264.62	15830
264.81	15737
265	15664
265.18	15635
265.37	15569
265.56	15556
265.75	15475
265.93	15494
266.12	15445
266.31	15355
266.5	15330
266.68	15287
266.87	15243
267.06	15227
267.25	15193
267.43	15111
267.62	14920
267.81	14735
268	14507
268.18	14467
268.37	14320
268.56	14189
268.75	14189
268.93	14180
269.12	14247
269.31	14200
269.5	14226
269.68	14352
269.87	14342
270.06	14406
270.25	14457
270.43	14519
270.62	14567
270.81	14658
271	14729
271.18	14751
271.37	14801
271.56	14768
271.75	14706
271.93	14782
272.12	14829
272.31	14815
272.5	14887
272.68	14952
272.87	14858
273.06	14946
273.25	15045
273.43	15014
273.62	15084
273.81	15049
274	15035
274.18	15130
274.37	15188
274.56	15233
274.75	15276
274.93	15330
275.12	15335
275.31	15404
275.5	15372
275.68	15311
275.87	15564
276.06	15571
276.25	15732
276.43	15687
276.62	15824
276.81	15751
277	15778
277.18	15863
277.37	15737
277.56	15836
277.75	15838
277.93	15895
278.12	16010
278.31	16080
278.5	16040
278.68	16060
278.87	16058
279.06	16138
279.25	16142
279.43	16092
279.62	16087
279.81	16185
280	16105
280.18	16084
280.37	16229
280.56	16216
280.75	16256
280.93	16257
281.12	16404
281.31	16221
281.5	16179
281.68	16238
281.87	16278
282.06	16249
282.25	16348
282.43	16332
282.62	16366
282.81	16384
283	16350
283.18	16348
283.37	16396
283.56	16458
283.75	16333
283.93	16340
284.12	16456
284.31	16361
284.5	16502
284.68	16452
284.87	16596
285.06	16600
285.25	16628
285.43	16560
285.62	16626
285.81	16605
286	16666
286.18	16761
286.37	16791
286.56	16818
286.75	16892
286.93	16875
287.12	16957
287.31	16948
287.5	17011
287.68	16949
287.87	16910
288.06	17089
288.25	17094
288.43	17182
288.62	17288
288.81	17353
289	17313
289.18	17248
289.37	17425
289.56	17413
289.75	17383
289.93	17459
290.12	17588
290.31	17524
290.5	17541
290.68	17675
290.87	17660
291.06	17712
291.25	17689
291.43	17664
291.62	17708
291.81	17761
292	17821
292.18	17784
292.37	17873
292.56	17870
292.75	17880
292.93	17934
293.12	17936
293.31	17935
293.5	18036
293.68	18007
293.87	17990
294.06	18054
294.25	18018
294.43	18069
294.62	18134
294.81	18141
295	18161
295.18	18087
295.37	18079
295.56	18013
295.75	18147
295.93	18110
296.12	18087
296.31	18078
296.5	18177
296.68	18177
296.87	18168
297.06	18209
297.25	18181
297.43	18137
297.62	18179
297.81	18270
298	18313
298.18	18239
298.37	18188
298.56	18211
298.75	18291
298.93	18282
299.12	18189
299.31	18282
299.5	18422
299.68	18289
299.87	18357
300.06	18361
300.25	18399
300.43	18330
300.62	18389
300.81	18488
301	18479
301.18	18535
301.37	18611
301.56	18609
301.75	18601
301.93	18623
302.12	18707
302.31	18618
302.5	18690
302.68	18817
302.87	18788
303.06	18907
303.25	18908
303.43	19018
303.62	19027
303.81	18987
304	19084
304.18	19027
304.37	19202
304.56	19119
304.75	19265
304.93	19343
305.12	19325
305.31	19304
305.5	19459
305.68	19575
305.87	19495
306.06	19489
306.25	19614
306.43	19654
306.62	19685
306.81	19801
307	19856
307.18	19833
307.37	19943
307.56	19905
307.75	19912
307.93	20052
308.12	20000
308.31	20181
308.5	20140
308.68	20210
308.87	20294
309.06	20335
309.25	20381
309.43	20346
309.62	20412
309.81	19757
310	20955
310.18	20381
310.37	19211
310.56	19698
310.75	20200
310.93	20051
311.12	19640
311.31	20309
311.5	20755
311.68	20670
311.87	20353
312.06	20355
312.25	20431
312.43	20531
312.62	21281
312.81	20874
313	20336
313.18	20727
313.37	19985
313.56	20524
313.75	20838
313.93	19626
314.12	20131
314.31	20978
314.5	21532
314.68	21047
314.87	21235
315.06	21083
315.25	20425
315.43	21074
315.62	21105
315.81	21440
316	21195
316.18	21362
316.37	21644
316.56	21010
316.75	21623
316.93	22114
317.12	21713
317.31	21445
317.5	21833
317.68	22315
317.87	21403
318.06	21968
318.25	22281
318.43	21958
318.62	21597
318.81	22486
319	22255
319.18	21921
319.37	22027
319.56	22186
319.75	22195
319.93	22474
320.12	22298
320.31	22358
320.5	23003
320.68	22911
320.87	23000
321.06	23313
321.25	22566
321.43	23267
321.62	22776
321.81	23141
322	23071
322.18	22762
322.37	23295
322.56	22233
322.75	23023
322.93	23414
323.12	22434
323.31	23319
323.5	23471
323.68	22962
323.87	24153
324.06	23327
324.25	21695
324.43	23198
324.62	22624
324.81	22892
325	23105
325.18	22953
325.37	22627
325.56	22809
325.75	23269
325.93	23139
326.12	23976
326.31	22342
326.5	22765
326.68	22786
326.87	22680
327.06	22228
327.25	22803
327.43	22873
327.62	21979
327.81	22388
328	22724
328.18	21776
328.37	21978
328.56	21660
328.75	21875
328.93	21737
329.12	22577
329.31	21990
329.5	21817
329.68	21919
329.87	21951
330.06	20972
330.25	21582
330.43	21075
330.62	21055
330.81	21609
331	21207
331.18	21689
331.37	21006
331.56	20849
331.75	21031
331.93	20904
332.12	21466
332.31	21315
332.5	20711
332.68	21261
332.87	21464
333.06	21301
333.25	20357
333.43	20711
333.62	21254
333.81	20546
334	21105
334.18	20563
334.37	20147
334.56	20953
334.75	21150
334.93	20877
335.12	20487
335.31	21066
335.5	20198
335.68	19898
335.87	20990
336.06	20658
336.25	20605
336.43	20758
336.62	20249
336.81	20980
337	20125
337.18	20353
337.37	20996
337.56	20576
337.75	20594
337.93	20152
338.12	20968
338.31	20342
338.5	20718
338.68	20785
338.87	20527
339.06	20254
339.25	20353
339.43	20516
339.62	20364
339.81	21032
340	20739
340.18	20689
340.37	20605
340.56	21131
340.75	20500
340.93	20396
341.12	21002
341.31	20984
341.5	20465
341.68	21432
341.87	20758
342.06	20458
342.25	21428
342.43	21297
342.62	21626
342.81	21219
343	21468
343.18	20929
343.37	21018
343.56	21437
343.75	21141
343.93	21152
344.12	21133
344.31	21423
344.5	21833
