# Optical absorption spectrum of Chlorophyll b in diethyl ether
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by M. Taniguchi in 2001 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 159100 cm-1/M at 453.0 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Vernon, L. P. and G. R. Seely (1966) The chlorophylls.  Academic Press, NY.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
300	36334
301	28789
302	28983
303	29194
304	29369
305	29545
306	29689
307	29760
308	29821
309	29770
310	29677
311	29598
312	29388
313	29115
314	28886
315	28629
316	28386
317	28215
318	28092
319	28056
320	28111
321	28247
322	28499
323	28764
324	29128
325	29536
326	29939
327	30389
328	30771
329	31065
330	31294
331	31411
332	31487
333	31475
334	31440
335	31311
336	31146
337	30964
338	30757
339	30507
340	30215
341	29915
342	29586
343	29202
344	28792
345	28410
346	27930
347	27522
348	27143
349	26832
350	26563
351	26339
352	26191
353	26077
354	26042
355	25962
356	25920
357	25840
358	25783
359	25642
360	25342
361	24913
362	24414
363	23886
364	23453
365	23281
366	23286
367	23099
368	22822
369	22437
370	22153
371	21855
372	21598
373	21490
374	21330
375	21231
376	21114
377	20963
378	20687
379	20242
380	19822
381	19245
382	18562
383	17758
384	16924
385	16043
386	15221
387	14484
388	13812
389	13319
390	12947
391	12660
392	12542
393	12509
394	12671
395	12860
396	13167
397	13546
398	13899
399	14267
400	14676
401	15115
402	15452
403	15765
404	16163
405	16479
406	16865
407	17382
408	17918
409	18616
410	19507
411	20512
412	21799
413	23352
414	25144
415	27244
416	29668
417	32328
418	35254
419	38325
420	41559
421	44667
422	47522
423	49952
424	52112
425	53870
426	55180
427	56021
428	56518
429	56702
430	56572
431	56358
432	56072
433	55696
434	55601
435	55941
436	56650
437	58078
438	60342
439	63471
440	67693
441	73210
442	79374
443	86748
444	95091
445	104228
446	113968
447	123449
448	132779
449	141291
450	148843
451	154236
452	157923
453	159100
454	158187
455	155008
456	149978
457	143136
458	134862
459	125822
460	116543
461	106810
462	96978
463	86967
464	77317
465	68661
466	60691
467	53141
468	45617
469	39375
470	33586
471	28349
472	23809
473	19963
474	16880
475	14215
476	12042
477	10306
478	8826
479	7650
480	6707
481	5972
482	5430
483	4983
